PROVA,T,Q,N
UM,A,PRIM,14
UM,A,SEG,28
UM,A,TER,13
UM,A,QUA,17
UM,A,QUI,18
UM,A,PRIM,14
UM,A,SEG,22
UM,A,TER,12
UM,A,QUA,18
UM,A,QUI,16
UM,A,PRIM,15
UM,A,SEG,24
UM,A,TER,10
UM,A,QUA,20
UM,A,QUI,14
UM,A,PRIM,14
UM,A,SEG,14
UM,A,TER,6
UM,A,QUA,20
UM,A,QUI,14
UM,B,PRIM,12
UM,B,SEG,16
UM,B,TER,5
UM,B,QUA,5
UM,B,QUI,14
UM,B,PRIM,13
UM,B,SEG,24
UM,B,TER,11
UM,B,QUA,16
UM,B,QUI,18
UM,B,PRIM,13
UM,B,SEG,22
UM,B,TER,11
UM,B,QUA,20
UM,B,QUI,15
UM,B,PRIM,15
UM,B,SEG,24
UM,B,TER,5
UM,B,QUA,10
UM,B,QUI,12
UM,B,PRIM,15
UM,B,SEG,16
UM,B,TER,10
UM,B,QUA,9
UM,B,QUI,15
UM,C,PRIM,12
UM,C,SEG,16
UM,C,TER,4
UM,C,QUA,9
UM,C,QUI,12
UM,C,PRIM,13
UM,C,SEG,12
UM,C,TER,1
UM,C,QUA,4
UM,C,QUI,10
UM,D,PRIM,12
UM,D,SEG,27
UM,D,TER,7
UM,D,QUA,13
UM,D,QUI,16
UM,D,PRIM,14
UM,D,SEG,14
UM,D,TER,9
UM,D,QUA,9
UM,D,QUI,14
UM,D,PRIM,10
UM,D,SEG,20
UM,D,TER,9
UM,D,QUA,3
UM,D,QUI,10
DOIS,A,PRIM,14
DOIS,A,SEG,18
DOIS,A,TER,7
DOIS,A,QUA,18
DOIS,A,QUI,15
DOIS,A,PRIM,14
DOIS,A,SEG,18
DOIS,A,TER,11
DOIS,A,QUA,13
DOIS,A,QUI,13
DOIS,A,PRIM,15
DOIS,A,SEG,28
DOIS,A,TER,14
DOIS,A,QUA,16
DOIS,A,QUI,16
DOIS,A,PRIM,10
DOIS,A,SEG,18
DOIS,A,TER,11
DOIS,A,QUA,13
DOIS,A,QUI,12
DOIS,B,PRIM,14
DOIS,B,SEG,14
DOIS,B,TER,6
DOIS,B,QUA,0
DOIS,B,QUI,13
DOIS,B,PRIM,12
DOIS,B,SEG,14
DOIS,B,TER,5
DOIS,B,QUA,4
DOIS,B,QUI,15
DOIS,B,PRIM,15
DOIS,B,SEG,22
DOIS,B,TER,9
DOIS,B,QUA,15
DOIS,B,QUI,14
DOIS,B,PRIM,13
DOIS,B,SEG,14
DOIS,B,TER,9
DOIS,B,QUA,8
DOIS,B,QUI,15
DOIS,B,PRIM,14
DOIS,B,SEG,12
DOIS,B,TER,9
DOIS,B,QUA,7
DOIS,B,QUI,13
DOIS,C,PRIM,15
DOIS,C,SEG,2
DOIS,C,TER,9
DOIS,C,QUA,7
DOIS,C,QUI,10
DOIS,D,PRIM,13
DOIS,D,SEG,12
DOIS,D,TER,8
DOIS,D,QUA,8
DOIS,D,QUI,13
DOIS,D,PRIM,14
DOIS,D,SEG,18
DOIS,D,TER,11
DOIS,D,QUA,16
DOIS,D,QUI,13
DOIS,D,PRIM,12
DOIS,D,SEG,26
DOIS,D,TER,12
DOIS,D,QUA,12
DOIS,D,QUI,14
DOIS,D,PRIM,14
DOIS,D,SEG,30
DOIS,D,TER,15
DOIS,D,QUA,16
DOIS,D,QUI,13
DOIS,D,PRIM,14
DOIS,D,SEG,22
DOIS,D,TER,10
DOIS,D,QUA,2
DOIS,D,QUI,10
TRES,A,PRIM,12
TRES,A,SEG,24
TRES,A,TER,11
TRES,A,QUA,12
TRES,A,QUI,19
TRES,B,PRIM,12
TRES,B,SEG,22
TRES,B,TER,15
TRES,B,QUA,17
TRES,B,QUI,18
TRES,B,PRIM,12
TRES,B,SEG,18
TRES,B,TER,11
TRES,B,QUA,20
TRES,B,QUI,15
TRES,B,PRIM,13
TRES,B,SEG,16
TRES,B,TER,8
TRES,B,QUA,8
TRES,B,QUI,13
TRES,B,PRIM,13
TRES,B,SEG,22
TRES,B,TER,13
TRES,B,QUA,14
TRES,B,QUI,20
TRES,B,PRIM,12
TRES,B,SEG,14
TRES,B,TER,9
TRES,B,QUA,9
TRES,B,QUI,16
TRES,B,PRIM,13
TRES,B,SEG,22
TRES,B,TER,14
TRES,B,QUA,6
TRES,B,QUI,17
TRES,B,PRIM,13
TRES,B,SEG,8
TRES,B,TER,9
TRES,B,QUA,13
TRES,B,QUI,16
TRES,C,PRIM,10
TRES,C,SEG,22
TRES,C,TER,9
TRES,C,QUA,10
TRES,C,QUI,16
TRES,C,PRIM,13
TRES,C,SEG,24
TRES,C,TER,6
TRES,C,QUA,14
TRES,C,QUI,14
TRES,D,PRIM,13
TRES,D,SEG,20
TRES,D,TER,10
TRES,D,QUA,14
TRES,D,QUI,15
TRES,D,PRIM,12
TRES,D,SEG,28
TRES,D,TER,9
TRES,D,QUA,17
TRES,D,QUI,14
TRES,D,PRIM,9
TRES,D,SEG,8
TRES,D,TER,9
TRES,D,QUA,9
TRES,D,QUI,15
TRES,D,PRIM,12
TRES,D,SEG,20
TRES,D,TER,15
TRES,D,QUA,20
TRES,D,QUI,14
TRES,D,PRIM,13
TRES,D,SEG,24
TRES,D,TER,15
TRES,D,QUA,20
TRES,D,QUI,18
QUATRO,B,PRIM,11
QUATRO,B,SEG,14
QUATRO,B,TER,9
QUATRO,B,QUA,17
QUATRO,B,QUI,16
QUATRO,B,PRIM,14
QUATRO,B,SEG,14
QUATRO,B,TER,14
QUATRO,B,QUA,18
QUATRO,B,QUI,15
QUATRO,B,PRIM,13
QUATRO,B,SEG,18
QUATRO,B,TER,14
QUATRO,B,QUA,16
QUATRO,B,QUI,17
QUATRO,B,PRIM,13
QUATRO,B,SEG,24
QUATRO,B,TER,10
QUATRO,B,QUA,14
QUATRO,B,QUI,17
QUATRO,B,PRIM,13
QUATRO,B,SEG,12
QUATRO,B,TER,8
QUATRO,B,QUA,6
QUATRO,B,QUI,14
QUATRO,B,PRIM,12
QUATRO,B,SEG,2
QUATRO,B,TER,5
QUATRO,B,QUA,9
QUATRO,B,QUI,12
QUATRO,C,PRIM,12
QUATRO,C,SEG,20
QUATRO,C,TER,8
QUATRO,C,QUA,10
QUATRO,C,QUI,13
QUATRO,C,PRIM,12
QUATRO,C,SEG,26
QUATRO,C,TER,10
QUATRO,C,QUA,15
QUATRO,C,QUI,13
QUATRO,C,PRIM,12
QUATRO,C,SEG,22
QUATRO,C,TER,9
QUATRO,C,QUA,5
QUATRO,C,QUI,11
QUATRO,C,PRIM,11
QUATRO,C,SEG,2
QUATRO,C,TER,2
QUATRO,C,QUA,4
QUATRO,C,QUI,13
QUATRO,C,PRIM,10
QUATRO,C,SEG,14
QUATRO,C,TER,15
QUATRO,C,QUA,12
QUATRO,C,QUI,12
QUATRO,D,PRIM,11
QUATRO,D,SEG,26
QUATRO,D,TER,10
QUATRO,D,QUA,5
QUATRO,D,QUI,13
QUATRO,D,PRIM,12
QUATRO,D,SEG,22
QUATRO,D,TER,7
QUATRO,D,QUA,13
QUATRO,D,QUI,14
QUATRO,D,PRIM,10
QUATRO,D,SEG,10
QUATRO,D,TER,4
QUATRO,D,QUA,0
QUATRO,D,QUI,15
QUATRO,D,PRIM,10
QUATRO,D,SEG,12
QUATRO,D,TER,4
QUATRO,D,QUA,13
QUATRO,D,QUI,14
